,MUN,ID,TIPO,PATFOR,TERR FOR,PATRICOVA,NIV PELIGR,PATIVEL,TIP PROTEC,TIPO PLAN,APROB,LEGIS,FUENTE,PMD,DENOM,CAT CLASE,CAT PROTEC,CAT CATEG,CLASIF,ZONIF,ZONIF DESC,DOT,DOT DESC,USO SUELO,AFECCION,PRR,PRR DENOM,PPRO,PPRO DENOM,PNM,PNM DENOM,PQN,PQN DENOM,ZHUM,ZHUM DENOM,ZEPA,ZEPA DENOM,ZEC,ZEC DENOM,LIC,LIC DENOM,RIESGO,CT,CT TIPO,VP,VP TIPO,DIC USO,DIC DESCRI,NORM URB
10,Algorfa,03012A00200016,Rústica,PATFOR. Plan de Acción Territorial Forestal,Terreno Forestal Común,No aplica,No aplica,No aplica,No aplica,Homologación de Normas Subsidiarias,2002-03-11,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239958,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03012%20ALGORFA/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03012%20ALGORFA/1%20P.%20GENERAL/03012-1000%20HOMO%20NNSS%20GLOBAL/3%20NORMAS%20URBAN%cdSTICAS/03012-1000_NNUU.pdf
11,Algorfa,03012A00200016,Rústica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Homologación de Normas Subsidiarias,2002-03-11,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239958,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03012%20ALGORFA/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03012%20ALGORFA/1%20P.%20GENERAL/03012-1000%20HOMO%20NNSS%20GLOBAL/3%20NORMAS%20URBAN%cdSTICAS/03012-1000_NNUU.pdf
12,Algorfa,03012A00200016,Rústica,PATFOR. Plan de Acción Territorial Forestal,Terreno Forestal Común,No aplica,No aplica,No aplica,No aplica,Homologación de Normas Subsidiarias,2002-03-11,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239958,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03012%20ALGORFA/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Senda de Serranos,Colada,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03012%20ALGORFA/1%20P.%20GENERAL/03012-1000%20HOMO%20NNSS%20GLOBAL/3%20NORMAS%20URBAN%cdSTICAS/03012-1000_NNUU.pdf
13,Algorfa,03012A00200016,Rústica,PATFOR. Plan de Acción Territorial Forestal,Terreno Forestal Común,No aplica,No aplica,No aplica,No aplica,Homologación de Normas Subsidiarias,2002-03-11,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239958,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03012%20ALGORFA/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Senda de Serranos,Colada,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03012%20ALGORFA/1%20P.%20GENERAL/03012-1000%20HOMO%20NNSS%20GLOBAL/3%20NORMAS%20URBAN%cdSTICAS/03012-1000_NNUU.pdf
14,Algorfa,03012A00200016,Rústica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Homologación de Normas Subsidiarias,2002-03-11,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239958,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03012%20ALGORFA/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Senda de Serranos,Colada,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03012%20ALGORFA/1%20P.%20GENERAL/03012-1000%20HOMO%20NNSS%20GLOBAL/3%20NORMAS%20URBAN%cdSTICAS/03012-1000_NNUU.pdf
15,Algorfa,03012A00200016,Rústica,PATFOR. Plan de Acción Territorial Forestal,Terreno Forestal Común,No aplica,No aplica,No aplica,No aplica,Homologación de Normas Subsidiarias,2002-03-11,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239958,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03012%20ALGORFA/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03012%20ALGORFA/1%20P.%20GENERAL/03012-1000%20HOMO%20NNSS%20GLOBAL/3%20NORMAS%20URBAN%cdSTICAS/03012-1000_NNUU.pdf
16,Algorfa,03012A00200016,Rústica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Homologación de Normas Subsidiarias,2002-03-11,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239958,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03012%20ALGORFA/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03012%20ALGORFA/1%20P.%20GENERAL/03012-1000%20HOMO%20NNSS%20GLOBAL/3%20NORMAS%20URBAN%cdSTICAS/03012-1000_NNUU.pdf
17,Algorfa,03012A00200016,Rústica,PATFOR. Plan de Acción Territorial Forestal,Terreno Forestal Estratégico,No aplica,No aplica,No aplica,No aplica,Homologación de Normas Subsidiarias,2002-03-11,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239958,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03012%20ALGORFA/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,PCV,Dotaciones red primaria comunicaciones red viaria (dominio público),"Uso no residencial, no industrial, no terciario",No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Colada de la Ermita del Carmen,Colada,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03012%20ALGORFA/1%20P.%20GENERAL/03012-1000%20HOMO%20NNSS%20GLOBAL/3%20NORMAS%20URBAN%cdSTICAS/03012-1000_NNUU.pdf
18,Algorfa,03012A00200016,Rústica,PATFOR. Plan de Acción Territorial Forestal,Terreno Forestal Común,No aplica,No aplica,No aplica,No aplica,Homologación de Normas Subsidiarias,2002-03-11,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239958,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03012%20ALGORFA/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,PCV,Dotaciones red primaria comunicaciones red viaria (dominio público),"Uso no residencial, no industrial, no terciario",No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Colada de la Ermita del Carmen,Colada,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03012%20ALGORFA/1%20P.%20GENERAL/03012-1000%20HOMO%20NNSS%20GLOBAL/3%20NORMAS%20URBAN%cdSTICAS/03012-1000_NNUU.pdf
19,Algorfa,03012A00200016,Rústica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Homologación de Normas Subsidiarias,2002-03-11,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239958,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03012%20ALGORFA/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,PCV,Dotaciones red primaria comunicaciones red viaria (dominio público),"Uso no residencial, no industrial, no terciario",No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Colada de la Ermita del Carmen,Colada,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03012%20ALGORFA/1%20P.%20GENERAL/03012-1000%20HOMO%20NNSS%20GLOBAL/3%20NORMAS%20URBAN%cdSTICAS/03012-1000_NNUU.pdf
20,Algorfa,03012A00200016,Rústica,PATFOR. Plan de Acción Territorial Forestal,Terreno Forestal Estratégico,No aplica,No aplica,No aplica,No aplica,Homologación de Normas Subsidiarias,2002-03-11,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239958,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03012%20ALGORFA/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,PCV,Dotaciones red primaria comunicaciones red viaria (dominio público),"Uso no residencial, no industrial, no terciario",No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03012%20ALGORFA/1%20P.%20GENERAL/03012-1000%20HOMO%20NNSS%20GLOBAL/3%20NORMAS%20URBAN%cdSTICAS/03012-1000_NNUU.pdf
21,Algorfa,03012A00200016,Rústica,PATFOR. Plan de Acción Territorial Forestal,Terreno Forestal Común,No aplica,No aplica,No aplica,No aplica,Homologación de Normas Subsidiarias,2002-03-11,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239958,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03012%20ALGORFA/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,PCV,Dotaciones red primaria comunicaciones red viaria (dominio público),"Uso no residencial, no industrial, no terciario",No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03012%20ALGORFA/1%20P.%20GENERAL/03012-1000%20HOMO%20NNSS%20GLOBAL/3%20NORMAS%20URBAN%cdSTICAS/03012-1000_NNUU.pdf
